callsign,latitude,longitude
SIA31,14.69220,123.48813
CES590,31.15818,121.80931
ETD278,10.18790,68.90074
BAW11,1.36853,103.98769
VPBCB,55.97887,37.39646
AIB244TE,53.53862,9.82248
UAE409,23.53253,57.91578
ACA43,51.75096,-70.81149
CPA3123,22.30235,113.92634
UAL179,38.52118,114.67237
CRK350,22.34052,113.98975
SQB02ERA,31.52493,74.39964
BAW33,2.74665,101.71623
AFR274,37.86932,139.34013
CRK081,25.95431,113.74804
AFR256,1.35914,103.98371
CAL5173,26.97348,123.84291
QTR914,-35.00291,138.45251
F08,41.29153,2.07240
ACA031,40.38290,115.66918
GIA088,52.32532,4.70352
FDX41,35.06113,-89.95820
P14,40.49793,-3.57713
AIC102,31.67754,71.40707
CES586,33.87003,123.36391
CES768,36.87431,120.58110
AAR201,37.25221,126.72017
LIGHT,42.69213,23.42000
FDX12,37.71889,-122.21667
CHH496,40.39100,116.85190
CSN432,40.45092,122.81673
TUG2,25.26228,55.36397
AFR393,47.21310,-1.25004
VJT726,43.29337,-73.50460
DLH778,2.17570,104.10509
CCA967,46.21818,10.46949
CCA880,45.07206,125.12691
SIA319,3.47946,100.77033
UAE415,19.25520,70.04691
JAS27,41.94250,-72.67621
TAM8063,-22.58496,-46.28630
CSN330,27.00641,113.61149
SIA325,1.52966,104.05388
AZA680,-27.03813,-50.22011
CPA879,27.96011,129.58543
AFR460,-18.67538,56.32710
DLH510,-24.27882,-52.41440
UAL198,33.63002,130.31641
KAL024,37.44293,126.47613
AAR211,37.10985,127.18130
CKK222,33.76131,130.59576
CPA807,51.43063,117.42432
FWZNF,43.62062,1.36414
DAL159,41.65356,124.19651
AZA688,-22.87609,-54.95112
CES208,48.58069,126.82333
DLH506,-23.31271,-46.59362
UAL853,41.08738,112.29719
DLH511,45.59624,5.37321
ARG1140,4.55176,-23.40337
CES582,31.14209,121.79880
DLH455,53.14897,2.56353
RYR21GH,37.78195,-0.80349
UAL123,54.17686,-16.09995
THA917,14.08717,100.86557
DAL185,33.96875,131.65215
AFR102,24.70409,108.05496
RANGER4,42.68915,23.39982
OH4,52.29919,4.75384
BAW59,-33.96692,18.59824
AZA674,-23.43679,-46.47874
BAW2063,-20.25298,56.85361
CAL5235,29.88291,127.86341
CHH7962,52.35196,127.12527
CES588,56.57213,128.47171
UPS2,22.30300,113.91497
FDX1977,40.61581,-74.24896
SWR92,-21.52180,-42.23145
UAL857,32.77350,128.34300
DLH520,24.63260,-97.92400
TU014,47.45422,8.55771
DLH730,22.31379,113.91543
CCA818,53.31553,137.00040
CPA3281,22.27199,114.99255
UAE208,34.08844,48.44851
PAL101,15.19507,122.18984
CMP362,21.20790,-97.91977
MSR986,35.98996,26.18942
SWR138,21.47515,113.40205
VIR206,22.40052,114.19840
EVA068,14.34554,100.29637
JAL65,35.77247,140.39633
BAW251,-18.10919,-55.91462
BAW15,14.15258,98.17739
BAW245,-19.95392,-50.19923
CHH7978,40.08168,116.57704
FIN81,1.44217,104.01723
CES710,38.83132,112.36212
ZEBRA7,47.45527,8.56122
AMX004,26.23288,-97.32493
SWR178,4.49524,100.75040
CCA982,58.91460,130.72708
IBE6051,-26.13671,28.25684
UAL871,32.45462,132.62717
SIA321,13.03477,98.76723
FMS,52.37069,13.52133
CPA254,22.76019,113.62814
SHT7J,51.73022,-0.55756
AIC191,59.41317,-36.04014
AIC103,66.98286,-62.19713
KLM394,51.28441,4.01627
P21,40.46719,-3.56875
ETH684,31.14402,121.81012
SVA038,26.70474,35.74070
CSN336,15.86565,118.21731
CHH498,50.80055,127.53004
UAL869,47.50449,115.23891
DAL469,45.87355,-69.98655
AEA039,5.71356,-79.42279
ACA82,32.23009,34.46153
TAM8085,-20.89092,-45.08524
ANA111,53.35434,148.02724
KLM592,52.31504,4.77392
UAL194,48.53293,11.16634
FDX5170,52.03632,18.60213
AFL2450,49.57928,4.82921
FOLLOW1,50.10590,14.25907
CCA988,45.99852,127.52689
THY1RD,46.00781,18.76362
CHH482,58.91223,131.00278
KAL020,37.10210,124.47962
SVA020,27.80086,30.41602
ANZ99,35.59398,140.53033
CPA837,34.98235,137.42175
TAM8101,-22.82053,-46.28241
SWR93,43.63420,6.08276
ROU1955,35.82422,138.40793
VHTGG,-36.70326,147.13005
AMX022,21.47664,-96.52435
AMX008,25.11037,-97.75697
BAW247,-11.19328,-38.04438
JBU894,40.68654,-74.18515
CHH7976,56.73340,128.62270
SAS940,59.65348,17.95354
JAL17,35.77422,140.39183
IBE6833,-13.62204,-52.24851
MDG058,-18.62489,47.19035
DLH507,48.54868,8.95280
AFR228,-17.48460,-48.36832
SAS97C,41.94617,2.70957
CES570,30.86938,121.89072
IBE2882,51.89276,5.37346
AMX097,39.82111,-115.30371
FDX5030,54.40234,25.92266
ELY027,45.37381,-70.17068
AMX026,24.01099,-98.13914
AIC127,73.18913,-62.52303
QTR8163,26.30160,-98.18682
AFR188,25.76088,107.55087
BOX571,52.00488,17.06795
AFR442,-19.42081,-43.33145
CCA986,45.12467,125.11009
BAW161,31.03235,121.59226
MPH8341,-24.52926,26.84903
AFR454,-17.64555,-45.15834
TOM45X,42.11609,18.30188
AIC101,59.17963,-38.14211
SER338,45.46758,-73.73589
CLX766,-16.39477,-44.49664
CSN304,25.42090,113.56693
SAA210,5.63155,-1.48855
CES2856,51.80141,135.24631
QFA10,-26.85100,117.40430
IBE6409,21.92880,-93.20506
AAL722,53.42372,-6.24110
DAL420,5.59685,-0.17067
KAL072,37.95655,122.65327
UAL990,50.38115,0.58177
AFR406,-15.65324,-47.59159
UAL970,45.94643,3.06043
VPCWW,31.79095,-14.92075
AAR271,37.81919,137.76640
UAL955,67.26437,-99.58406
RYR3717,47.45110,19.21687
ELY006,57.35385,9.61809
UAE425,23.25489,58.21752
KAL122,35.36234,128.91151
AEA041,-21.98304,-46.31511
ELY001,45.77605,-67.55520
IBE6314,41.36288,-9.90900
AAL904,25.69260,-80.25383
SVA042,49.25925,-3.65042
UAL952,48.35396,11.79462
LAN704,25.13818,-19.40755
AIC173,54.89836,172.45114
AFR083,51.63435,-2.93755
IBE6586,39.98996,-4.54291
AAL834,27.97691,-82.53883
UAE761,-25.34383,28.76718
CSN660,47.13777,130.70061
FDX14,35.06494,-89.98022
JAL772,35.76968,140.39453
AEA075,-1.77324,-72.42661
AEA024,34.12051,-10.62378
CFG059,56.30502,-11.39643
RYR8BY,51.16393,-0.07609
AFR065,52.46741,-1.60545
IBS3932,40.49464,-3.58752
THY60,5.94356,99.72030
PAL721,34.20961,113.87821
UAE440,-26.07222,116.53393
AEA025,-10.51250,-54.58780
THY52,37.10513,124.23112
ETD76T,24.43802,54.64733
AUA82,57.03772,5.51986
ACA093,36.48606,-78.07370
AAL786,49.00570,2.56162
AFR459,43.09790,-2.09558
AEA057,-19.20615,-44.18157
THY26,31.64849,118.39828
THY72,22.96431,113.07788
T7SKA,53.56198,-3.48622
UAE231,59.07813,-38.97146
N866AB,47.24466,-9.81790
THY70,23.43311,110.91068
UAE356,-3.09485,105.96425
DLH457,54.23173,-0.72671
QTR890,31.68810,117.83154
CPA110,22.31297,113.93305
FDX108,35.06163,-89.98149
IBE6827,-17.97546,-42.76602
UAE414,-24.79707,113.49660
LPE2485,0.34014,-64.22842
GES031,40.07423,-3.63324
BAW282,56.24808,-9.71807
THY68,13.67822,100.75559
DLH481,49.39636,9.80114
VIR8E,56.14423,-7.60503
RKS32,40.31303,144.86760
EDW15J,47.99648,6.11468
MSR958,23.26308,113.25285
AAL187,59.18242,147.94435
HAL451,-28.92006,157.33527
FDX855,35.06224,-89.98365
FDX601,35.06448,-89.98334
PAPA3,40.50928,-3.57880
N152QS,45.92184,-104.03269
JBU464,40.64541,-73.77188
UAE318,35.93260,140.66023
TSC692,37.93155,23.94596
VIR44B,51.55432,-1.06682
FDX619,35.06553,-89.97462
THY800,26.66069,-48.34509
FOLOWME2,19.09471,72.86706
TAP087,-20.32796,-46.52200
ANA109,63.28170,164.02463
UAE408,-22.07152,109.47588
CPA823,65.22630,94.60344
AAL215,-10.00845,-59.10223
SWR197,51.71109,19.49442
JBU1124,40.64556,-73.77431
FDX583,35.06109,-89.97451
KV3,52.31775,4.74106
THY38R,-25.70526,28.76687
QTR740,67.72211,-53.38606
UAL972,50.99684,3.44963
BAW166,45.68843,19.72823
NAX7088,64.95140,4.78971
SIA298,-3.02446,112.28123
KLM792,44.18021,-6.46997
TJS29,46.10669,5.91863
TCX2735,53.39709,-4.07617
THY84,23.65850,109.41108
UAE221,72.77586,-40.79924
QTR1369,-27.73082,22.95550
AAL742,41.29123,2.08253
UAE219,59.02620,-31.71263
DAL106,51.88504,-0.96947
JAL69,36.71563,155.60889
ACA007,44.17528,123.37659
UAE203,59.30162,-34.75061
LAN533,-22.09760,-74.96339
THY173,41.39172,35.17073
SVA860,14.00515,118.74496
ETD474,-6.13092,106.64796
AAL720,41.79652,12.24111
KAL138,34.51881,129.48907
CSN461,55.59985,31.06230
THY54,11.21873,99.72148
DAL64,41.79816,12.24576
RYR3GB,44.84182,16.21307
KLM214,52.30933,4.77615
KLM749,51.22487,-1.90674
TSC154,50.89289,4.49385
DAL583,57.80123,145.36884
ETD424,13.98048,120.61600
QTR778,44.60454,15.26491
LNE1441,7.21090,-66.99358
N194WM,51.47461,14.02486
DAL2040,40.63956,-73.78078
UAE213,35.98367,-20.27965
IBE6456,35.65236,-15.97009
SAY9858,59.06502,46.51758
AIC160,52.76111,17.28592
CPA3273,33.13298,132.98665
FDX26,50.86795,7.14111
THY56,11.48751,99.58037
DAL110,27.31989,-80.36945
ELY002,37.13570,23.25155
QTR956,-5.28931,106.75836
QTR727,59.83879,-31.13598
QTR1373,-20.79935,20.22778
QTR756,46.83696,15.67481
QTR703,59.77861,-27.23329
QTR900,-18.24223,102.02793
BAW2278,57.91960,-13.59358
QTR870,31.36514,121.06578
TAM8113,-17.88611,-50.64962
BAW190,51.38910,-1.79857
CSN3074,20.87091,114.29572
CAL5321,31.37910,130.10112
AAL996,22.85339,-90.54687
IBE6674,40.49809,-3.56853
BAW92W,51.46643,-0.46872
VIR86Z,56.82660,-5.47050
THY166,20.85768,102.25629
TSC652,49.61151,-4.17562
ETH604,41.64507,104.26052
FDX82,35.06665,-89.98381
ANA115,42.03735,141.92451
TSC408,51.05342,-0.59059
KAL054,37.06352,127.53093
RYR6CE,42.36713,0.45194
SUR8901,45.45464,-73.76215
DAL589,49.93295,133.27380
OAE702,48.66234,19.37122
AIC171,51.53142,-0.03136
LAN507,-33.40193,-70.78533
AZA62J,50.07049,-28.10092
CLX779,51.04751,2.10716
ACA091,38.86281,-76.93056
CBJ462,11.48313,121.66809
AFR099,49.00028,2.58623
DAL414,39.38533,15.19867
KLM771,51.03136,-2.36622
SVA822,-1.08225,105.25670
UAE332,13.89873,119.55289
KAL504,43.64229,116.16201
JAL1,36.82142,156.74323
EDW11,52.73987,-1.76590
QTR930,13.87154,111.38118
JBU1415,37.61370,-122.38933
QTR806,37.68883,128.68782
TCX2719,59.14019,-8.51440
UAE316,37.16354,129.86201
QTR962,-2.41919,108.58840
AAL56,51.45218,-0.09331
UAE216,75.07410,2.23994
AAL984,25.54408,-79.96622
N151QS,42.97160,-2.21023
KLM676,52.31430,4.77531
QTR946,1.12954,103.71795
AAL912,22.29864,-79.09779
KLM751,46.15740,-29.54092
N805TM,23.29204,120.26296
CAR12,-31.94844,115.95972
VLG7822,51.15423,-0.16505
SIA328,38.90059,44.22955
QTR932,14.15615,117.41547
OMA844,23.60579,58.27763
XAX215,2.17438,102.09176
THY2,43.94696,18.85094
DAL146,25.13008,-79.53211
TAP075,-14.68639,-41.75715
AAL2491,25.79788,-80.27470
CFG115,47.88921,-9.57940
QTR730,60.83377,0.52832
BAW8,72.43890,31.77368
AFL107,75.00380,5.83484
QTR1363,-23.55096,29.14222
GTI8086,22.31403,113.91322
AAL907,-32.69925,-65.38436
KLM604,62.51115,-22.21436
AAL263,70.59856,179.09084
AAL78,57.67947,-11.63929
UAE226,79.81439,21.17807
THA476,9.96870,107.81253
DLH483,50.98782,-0.02220
PAL210,14.42593,121.50074
DAL444,41.79880,12.23339
EJA538,34.42277,-119.83589
AAL900,25.79297,-80.35751
THT7,-17.55782,-149.61066
AAL962,27.15308,-83.27753
JAL783,35.75985,140.38264
AAL929,-23.47522,-46.65694
ACA844,51.11431,7.19734
AAL997,-21.20586,-73.76640
QTR858,37.88654,122.74446
AAL734,53.35081,-2.28610
AAR795,55.61163,37.82361
DAL39,53.48003,137.19719
FWI543,48.18787,1.38731
VIR78,53.46478,-4.98262
AAL940,19.63774,-89.13610
SWR65,48.54826,0.34332
AAL46,51.59637,-0.48355
PIA782,57.37120,28.91095
DLH493,53.92648,0.05097
ROU1934,53.96568,-3.16915
UAE772,-22.96738,24.44845
FWI585,45.79139,-9.95420
KTK3893,36.89545,30.80055
QFA127,16.99166,116.95570
ETD170,78.68181,-35.19633
BAW36,45.96852,24.05903
KAL529,56.14265,43.03894
AAL423,33.94110,-118.40484
AAL728,51.47157,-0.46332
VIR16B,51.15594,-0.18259
ETD93R,73.62822,-13.78922
AFL103,59.34874,31.47894
RJA180,14.33208,97.27863
CRL925,48.75020,2.87047
CAL5254,60.35394,-156.06259
DAL129,54.91823,139.45587
DAL611,34.88887,137.34827
AFL1711,55.96568,37.40340
BAW2038,51.12927,0.13547
CAL015,37.79904,163.21896
AFR429,45.89960,-32.00859
SIA286,-7.53401,121.27097
EVE802,39.91124,-5.10608
QTR818,21.54185,113.33316
KLM758,47.07402,-18.60370
FDX56,35.06128,-89.96781
SWR9K,48.02776,5.94938
WJA1,51.34135,-0.95470
AZA63C,47.53258,-4.20248
AFR267,56.23553,41.26090
AFR741,47.37726,-1.82497
QTR8102,52.52985,3.93974
UAE387,25.24560,55.37383
DAL74,52.38849,2.65916
IBK9470,42.26880,-4.07480
IBE6841,-18.62583,-43.74836
HVN772,9.00121,109.23042
BAW71F,61.53429,-27.17910
UAE366,22.08978,116.54312
SQB02ERA,31.51507,74.40585
EIN12G,53.41394,-6.13465
QTR708,47.35419,11.87814
TAM8081,-11.81364,-49.99272
NWS306,58.82764,53.64716
WJA3,51.00650,-0.18320
HAL449,34.44319,140.57550
AAL293,33.94111,-118.40646
LAE2841,-21.69907,-58.00273
ANZ2,64.90872,-46.81311
BAW79V,51.10527,-28.39960
TAM8091,-20.88716,-46.77728
QTR880,29.70615,106.52850
EIN146,64.03954,-30.54639
AFR689,49.32339,0.87496
DAL412,44.78209,4.62504
QTR726,58.25734,7.48054
AMX001,44.03102,-30.44549
IBE6844,16.31172,-25.17204
DLH447,57.67259,-8.59981
AAL992,24.39926,-78.14178
UAL148,29.92590,-75.60027
AFR179,47.78704,-33.41489
AFR6731,55.51196,-4.61112
UAL938,57.93520,-21.46717
DAL162,53.15891,0.70485
DAL38,43.86017,154.43549
UAL2,40.01428,151.63673
SAS936,67.91814,-31.97155
QFA81,-0.60751,108.47820
SIA238,0.82191,105.12836
JBU687,33.93565,-118.41043
UAL862,39.27050,149.90778
DLH465,51.04835,0.14938
VIR20V,63.35669,-32.78648
UAE230,75.04669,36.62038
ROU1932,43.59018,7.64348
AAL54,53.39975,-3.54721
DAL472,28.70836,-69.19030
PAL662,22.80942,63.26920
WK0025,50.05253,-20.96949
AVA016,38.22350,-29.08654
JAL791,34.15553,139.63365
AAL963,-5.25192,-56.10445
GTI8766,62.19709,-25.37430
UAE369,25.29169,55.58926
JBU167,37.71132,-122.21646
AFR673,50.72319,-8.65084
UAL48,66.35686,36.36618
AEA088,40.60094,-6.58984
ABW486,56.01068,38.24041
CSN326,10.82240,120.21487
LAN503,-30.45168,-71.36521
DAL136,52.22579,4.57298
CFG065,58.76953,-43.00846
DAL4,50.00227,8.35250
EVA659,36.21508,139.39711
DSM7822,16.79150,-76.35238
AZA605,44.98146,8.36275
NOS430,46.10880,-4.95698
TEST1234,40.69384,-74.16082
AFR153,49.23280,-4.39348
A6EDR,25.25068,55.36158
FWI554,46.50582,-13.04887
HVN780,6.31247,112.89188
JBU1715,37.61136,-122.39024
XAX551,3.11375,103.42669
N797KK,42.28982,141.65561
UAL923,62.58920,-44.91591
UAL860,27.77385,-73.82377
ACA824,52.27084,4.68994
TE888,-37.00776,174.79117
ROU1912,41.29121,2.07312
ABW543,51.67645,-133.21338
CSN382,14.19150,119.73843
AAL950,28.47013,-70.23114
KLM706,26.58385,-18.37546
ELY032,49.47176,-11.20352
KAL035,57.57764,-146.15567
AIC301,6.54050,112.62798
VIR106,58.62017,-13.79702
ETD54K,63.77768,-19.97062
AAL930,24.06839,-77.74114
BAW34N,47.94237,-9.38759
RYR20VP,48.03923,9.45408
AFL1731,61.49849,47.40306
ACA834,46.23419,6.11136
DAL104,24.46609,-74.17622
THY38D,40.97393,28.82171
CPA257,56.28772,73.76787
AFL1743,61.67038,47.86930
TSC100,50.06081,9.02100
HAL2,33.93990,-118.40456
LOT92,56.12222,48.62918
TSC382,47.87907,-7.72895
THY713,41.56439,33.82035
CPA139,-22.21898,141.91655
UPS208,43.09443,-73.24409
YGI,-32.09361,115.88268
AEA012,37.86058,-16.26166
TCX2849,53.44835,-4.49664
LAN621,-29.95610,-73.41404
SIA232,-2.14659,110.81588
CPA830,51.79239,171.11087
AAL214,25.65720,-80.10046
GEC8401,56.78915,60.13066
IBE6346,41.49638,-5.66815
CES562,9.17033,121.72852
FDX5392,48.55355,78.16939
TSC498,49.37338,-4.66306
AAL744,42.48911,-3.20737
CSN344,7.49400,121.77567
THY76M,40.98116,28.81742
AFR125,56.13478,49.42350
PAC241,-13.89221,147.01166
BPA1404,44.01292,-13.45065
DAL30,50.24276,-7.08306
AFR377,49.30687,1.44535
ELY016,44.22510,6.03561
TSC314,45.77847,3.08917
XAX223,-5.73146,112.67190
ANZ281,-34.79675,154.18796
SOO275,23.76617,108.25571
CSN301,-20.18263,140.44757
IBE6170,44.01945,-49.86057
QTR744,48.49466,3.38710
SWR15X,48.27644,4.79433
EZY47LA,50.81977,4.30824
HAL50,45.00573,-99.51698
ACA894,45.71489,4.53146
EVE814,43.13769,-25.12930
UAL54,50.63292,0.29552
CKK213,58.51717,65.52281
KLM812,36.39789,53.63087
AD8705,-16.43843,-50.86013
TSC456,49.02047,2.52335
GIA713,-8.31761,113.95392
DLH495,50.80119,3.92783
DAL422,52.21341,3.53626
HAL445,-23.65146,-177.39090
QFA97,11.33649,119.98463
ICL981,41.45238,-74.74117
KAL073,60.83711,-149.32835
TAP088,23.12369,-19.32049
AAL120,48.99472,2.81905
TCX2865,66.06070,-42.49809
EIN124,54.80865,-13.31451
ACA890,47.72768,-3.81451
AIR4,25.23270,55.39697
PAL212,6.54124,123.95003
DAL60,20.42298,-69.41152
RBA98,10.20218,106.85447
THA492,-11.64555,130.63028
AEA034,41.01431,-15.37930
DAL40,0.57590,-157.98326
AFR027,49.27080,2.20621
QFA29,6.65524,122.20963
TAM8065,-2.37523,-33.36927
ACA838,50.59609,5.20418
AEA064,40.05469,-29.61755
BER7431,63.09833,-51.18195
AAL945,-15.47275,-76.18616
ANA855,-5.88460,106.52051
SIA308,34.06503,58.59788
DAL8878,44.88307,-93.21447
DLH453,62.73566,-54.81945
BOV776,15.56987,-25.62416
AEA098,41.03503,-18.48666
DAL581,34.89854,150.73070
FDX54,35.06284,-89.98159
TSC648,45.77106,3.10411
DAL144,64.08069,-17.33115
GLP118,55.31868,38.19197
TAP070,19.09475,-20.01274
CXA808,7.36418,121.97496
NAX7074,66.00508,-41.36250
JAL789,35.02111,149.83989
FIN58,65.68895,69.82853
KLM868,73.30043,69.81446
TSC182,55.93815,-4.30844
SVA834,8.50614,90.15173
DAL196,21.11458,-70.64658
BAW2256,46.61340,-14.97822
AAL738,38.42038,-9.58390
KAL081,60.62288,-153.80585
JBU1323,33.93991,-118.40417
AIC131,46.69478,22.45659
JST7,-2.61326,111.52715
BAW172,51.46776,-0.47867
AZG074,43.86127,53.63379
DAL474,48.86504,1.69802
BAW22C,51.36318,-0.11246
CPA074,31.02195,-84.04189
DHK966,50.20971,-66.39394
PAL659,13.89482,103.86962
CLU531,36.35934,104.05946
AAL974,18.56829,-66.96577
QTR8971,25.32065,59.21453
FIN42,65.70969,60.35328
CXA804,5.72355,122.74068
MEA576,33.82445,35.48392
THY50D,40.98917,28.81268
THA671,13.96223,101.04646
FIN76,64.34394,80.49980
AFL1880,47.98414,64.70696
CPA162,5.69846,122.75517
AEA052,40.96955,-20.88245
QTR965,18.70159,71.17708
CAL5147,41.60101,146.45644
ISS3220,-0.22516,39.90598
GES041,44.58657,-48.24980
SAS964,55.26215,75.63562
IBK1609,55.94743,-3.36866
IBK1601,55.94688,-3.38050
UAE236,50.53460,-11.33752
AAL108,63.40475,-59.34320
KTK7744,39.02293,66.22576
JAL773,-10.94983,147.03938
VIR142,50.71568,-51.81405
VIR10K,51.31091,-0.94609
MAS89,3.43272,104.40321
MAS141,-31.46153,141.38770
HAL821,34.52744,152.99229
FDX1800,37.71711,-122.21780
BAW94,51.46779,-0.47867
DAL41,29.67411,-125.02727
CES712,4.94641,123.38245
THY80L,70.03784,-47.36596
THA461,-29.59167,131.65903
JAL413,66.56961,76.89268
TAM8070,21.93007,-19.69777
DLH501,20.92125,-20.36639
VOZ35,-9.18278,114.92972
AFR253,31.76533,63.33441
DAL158,63.23079,-155.09023
SIA671,1.35828,103.99246
CSN343,-19.43599,135.16695
LAN502,12.08312,-79.52006
SIA12,35.06464,140.55737
FDX1268,35.06721,-89.97502
UAL844,22.91302,-69.93909
VIR128,53.53028,-2.20486
SVR94,55.25983,38.26397
ROU1930,53.88446,-2.58524
SWR53T,48.47945,4.10831
ARG1160,3.49372,-25.40051
CCA976,40.06549,116.60335
UAL144,45.15991,-104.45126
AFR069,61.83770,-60.46284
DAL409,55.56816,-3.60077
LAN705,2.64064,-34.39326
EIN1PE,59.70556,-78.24681
PW08,25.08495,121.22896
BAW14K,51.30771,-0.48563
JAL45,69.82619,80.32523
MAS388,31.14204,121.80298
UAL170,46.21596,-0.27781
UZB512,41.09070,70.32892
ACA46,60.87217,8.76748
FIN80,69.74423,81.67415
CPA134D,3.13120,124.16005
VIKTOR46,47.45577,8.55798
ACA870,49.23546,2.68320
AFR935,27.81248,29.76031
AZG632,28.19152,61.61914
DLH413,48.84860,0.78087
QFA577,-31.93256,115.96167
SIA32,35.68867,142.47906
GTI534,54.78522,177.01338
SWR189,55.33493,75.17023
FDX5384,32.77034,57.30853
MOV182,57.45654,47.28285
MOV198,59.63104,59.53528
AFR475,45.32198,-37.90234
BAW276,42.01758,33.36123
FIN78,69.72198,81.90795
ACA848,50.55341,-3.87044
TSC400,46.47161,-0.20833
MAS133,-32.97528,138.31210
FDX1224,35.06093,-89.95378
JAL421,65.96494,79.62776
FDX1818,37.71878,-122.21761
EVA316,10.14432,124.07810
EIN1TC,53.42277,-6.26480
AAL0000,32.90988,-97.06076
DAL471,-2.89867,-54.30603
FDX1200,35.06277,-89.98092
CES261,55.45871,74.34963
MAS129,-34.79210,138.24371
UAL8,44.39278,163.53593
TUI174,36.98938,29.01173
KZR930,43.73653,77.43748
AFR275,67.47093,86.30260
OMA822,23.59842,58.15887
TSC284,63.56927,-32.39182
SWR161,68.34251,85.21046
NJE576G,33.29393,114.51846
ACA872,52.01268,-5.02232
KAR1864,56.13902,92.63543
N988ZJ,41.64873,149.76263
ANA817,11.66008,104.96313
BAW18,61.10014,68.07433
DAL44,52.36498,-9.22043
QFA35,-7.13173,113.98315
SQC7123,-14.23978,143.34821
DLH415,52.01697,-15.99792
FDX68,35.06503,-89.98399
AAL908,11.15149,-70.08212
THA641,13.70787,100.76542
KLM686,47.82289,-51.16388
AEA092,44.74676,-8.53772
UAL82,72.07092,3.31324
QTR702,51.46303,-0.62288
MSR747,30.70762,30.77935
ODP,-34.51556,138.80110
CSN303,52.04352,68.11592
ANA231,69.84476,81.29409
SVA129,52.56294,-1.18187
KAL093,59.62514,-162.19272
RAM219,35.80849,-11.21938
AAL186,60.75760,-169.15584
GIA879,-5.65689,106.81879
GIA881,-4.90036,116.70655
SVA377,33.25406,-7.55325
ESC799,45.46347,-73.76214
UAL16,53.17555,-10.27359
DAL411,50.84047,-2.59307
SIA245,-25.95467,146.84818
TAM8080,20.76205,-68.06570
AFR011,49.34579,-6.03749
QFA117,3.41326,128.77715
BAW188,51.47658,-2.59377
EJM167,51.50587,-0.35409
AFR349,49.55416,-2.30468
CFG011,61.04086,-20.41781
UAL77,53.63842,-12.77096
SDM6488,65.16303,59.64981
GEC8273,50.04033,8.54364
FDX5391,47.74426,-69.19802
AAR222,57.76193,-161.11699
AIR20,25.25070,55.35838
UAE9882,24.52791,103.21889
